Month,Brooklyn,Manhattan,NYC,Queens
2017-12-01,2553.000,3133.000,2763.000,2075.000
2018-01-01,2549.000,3126.000,2757.000,2071.000
2018-02-01,2549.000,3130.000,2760.000,2072.000
2018-03-01,2553.000,3136.000,2765.000,2077.000
2018-04-01,2563.000,3147.000,2775.000,2084.000
2018-05-01,2574.000,3165.000,2789.000,2093.000
2018-06-01,2584.000,3183.000,2803.000,2102.000
2018-07-01,2595.000,3198.000,2816.000,2113.000
2018-08-01,2605.000,3212.000,2828.000,2123.000
2018-09-01,2610.000,3220.000,2835.000,2130.000
2018-10-01,2609.000,3216.000,2833.000,2133.000
2018-11-01,2605.000,3210.000,2828.000,2130.000
2018-12-01,2594.000,3202.000,2821.000,2132.000
2019-01-01,2595.000,3200.000,2820.000,2129.000
2019-02-01,2600.000,3206.000,2825.000,2132.000
2019-03-01,2616.000,3215.000,2836.000,2140.000
2019-04-01,2629.000,3229.000,2848.000,2141.000
2019-05-01,2647.000,3251.000,2867.000,2158.000
2019-06-01,2662.000,3270.000,2884.000,2170.000
2019-07-01,2678.000,3289.000,2901.000,2185.000
2019-08-01,2695.000,3304.000,2915.000,2195.000
2019-09-01,2710.000,3311.000,2924.000,2199.000
2019-10-01,2718.000,3309.000,2926.000,2199.000
2019-11-01,2723.000,3306.000,2925.000,2196.000
2019-12-01,2727.000,3301.000,2924.000,2196.000
2020-01-01,2732.000,3307.000,2929.000,2200.000
